100 10000
0 0 0.0
0 1 20367.5
0 2 35127.9
0 3 60924.3
0 4 40804.9
0 5 23451.7
0 6 23429.3
0 7 22308.1
0 8 26489.1
0 9 24696.0
0 10 33741.4
0 11 64685.2
0 12 24990.3
0 13 22108.7
0 14 69870.7
0 15 28959.1
0 16 48023.5
0 17 19261.2
0 18 46201.7
0 19 24660.4
0 20 25346.6
0 21 22929.5
0 22 43470.8
0 23 18782.3
0 24 58537.3
0 25 33087.7
0 26 66410.2
0 27 37359.4
0 28 45107.7
0 29 21270.0
0 30 25064.0
0 31 19167.3
0 32 49282.0
0 33 50660.2
0 34 20430.7
0 35 20464.4
0 36 25715.3
0 37 24699.0
0 38 53337.5
0 39 39023.0
0 40 36002.9
0 41 35547.1
0 42 25373.5
0 43 19520.2
0 44 53872.9
0 45 50327.4
0 46 39672.3
0 47 25561.4
0 48 60264.5
0 49 44086.1
0 50 64472.5
0 51 36847.4
0 52 27113.1
0 53 42692.3
0 54 18266.2
0 55 45356.2
0 56 19458.4
0 57 33106.7
0 58 26969.0
0 59 67118.4
0 60 33799.1
0 61 43064.2
0 62 8996.6
0 63 27806.6
0 64 20264.1
0 65 13110.2
0 66 7606.9
0 67 48885.2
0 68 22807.8
0 69 25343.4
0 70 18645.2
0 71 27411.3
0 72 53313.4
0 73 5016.6
0 74 19527.7
0 75 22932.1
0 76 24181.2
0 77 48287.1
0 78 30011.9
0 79 22853.0
0 80 24128.7
0 81 25320.8
0 82 35690.8
0 83 5402.8
0 84 45748.0
0 85 20063.9
0 86 22725.6
0 87 43841.1
0 88 10495.3
0 89 30039.1
0 90 24278.6
0 91 14971.2
0 92 22575.3
0 93 53353.7
0 94 36139.2
0 95 4942.7
0 96 21243.5
0 97 37012.1
0 98 28935.5
0 99 37510.6
1 0 20367.5
1 1 0.0
1 2 35015.6
1 3 50124.5
1 4 40692.6
1 5 30233.1
1 6 25882.3
1 7 16269.6
1 8 13841.5
1 9 32236.3
1 10 17165.0
1 11 74219.9
1 12 11122.8
1 13 15484.5
1 14 56243.5
1 15 42323.7
1 16 31366.9
1 17 1885.9
1 18 32415.2
1 19 8124.9
1 20 12699.0
1 21 6110.0
1 22 52420.1
1 23 17215.6
1 24 45484.4
1 25 18830.5
1 26 52783.0
1 27 38313.2
1 28 29669.3
1 29 7046.3
1 30 10781.7
1 31 6638.7
1 32 35863.2
1 33 62651.9
1 34 6493.1
1 35 38945.9
1 36 26669.1
1 37 9267.0
1 38 65715.6
1 39 30799.8
1 40 37427.6
1 41 36866.8
1 42 12725.9
1 43 2144.9
1 44 39615.7
1 45 37636.0
1 46 27320.8
1 47 12913.7
1 48 66788.0
1 49 31771.3
1 50 51558.3
1 51 48839.1
1 52 28066.9
1 53 28435.1
1 54 19693.0
1 55 34817.5
1 56 27471.3
1 57 38792.0
1 58 24546.0
1 59 53332.0
1 60 20406.7
1 61 28636.5
1 62 23361.4
1 63 15571.8
1 64 2888.8
1 65 33276.8
1 66 25118.1
1 67 61916.0
1 68 16544.2
1 69 26325.9
1 70 36051.9
1 71 10858.8
1 72 50426.7
1 73 18666.4
1 74 6130.9
1 75 9100.0
1 76 25163.7
1 77 36684.6
1 78 16575.3
1 79 39786.1
1 80 8696.7
1 81 26303.4
1 82 35578.4
1 83 17474.3
1 84 31961.6
1 85 7557.1
1 86 30575.8
1 87 44794.9
1 88 20332.7
1 89 16620.4
1 90 10054.9
1 91 8901.0
1 92 39524.1
1 93 41619.4
1 94 35751.5
1 95 18406.3
1 96 7499.6
1 97 23566.8
1 98 47618.8
1 99 51892.3
2 0 35127.9
2 1 35015.6
2 2 0.0
2 3 77884.5
2 4 5773.5
2 5 57090.0
2 6 57067.7
2 7 19132.1
2 8 23628.7
2 9 20295.5
2 10 42111.2
2 11 99809.1
2 12 32139.1
2 13 20046.3
2 14 42148.1
2 15 24732.8
2 16 51876.6
2 17 33868.0
2 18 35621.9
2 19 33486.7
2 20 25433.6
2 21 32070.4
2 22 24596.1
2 23 21577.3
2 24 27898.2
2 25 35205.3
2 26 38601.7
2 27 70221.6
2 28 44873.4
2 29 38355.5
2 30 33141.2
2 31 28524.8
2 32 24174.8
2 33 85784.1
2 34 29196.0
2 35 55588.4
2 36 58577.5
2 37 32949.5
